Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,States,Counties
2020,NC,North Carolina,Guilford,37081,37081010403,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,32.1,,,30.5,33.7,1594,POINT (-79.8152325 36.10486685),37081010403,HLTHOUT,OBESITY,CrdPrv,Obesity,37,643
2020,NC,North Carolina,Guilford,37081,37081015200,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.5,,,33.5,35.4,8412,POINT (-79.56872876 36.12242508),37081015200,HLTHOUT,OBESITY,CrdPrv,Obesity,37,643
2020,NC,North Carolina,Guilford,37081,37081015300,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.0,,,33.2,34.8,7791,POINT (-79.64240169 36.09565548),37081015300,HLTHOUT,OBESITY,CrdPrv,Obesity,37,643
2020,NC,North Carolina,Randolph,37151,37151031303,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,15.3,,,11.6,19.4,4226,POINT (-79.92082099 35.8441171),37151031303,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,651
2020,NC,North Carolina,Davie,37059,37059080600,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.0,,,3.5,4.5,3659,POINT (-80.57354592 35.9285473),37059080600,HLTHOUT,STROKE,CrdPrv,Stroke,37,2334
2020,NC,North Carolina,Forsyth,37067,37067002001,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.9,,,5.4,6.4,2367,POINT (-80.23531428 36.0563685),37067002001,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Guilford,37081,37081012508,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.0,,,2.5,3.5,3289,POINT (-79.82986117 36.10282128),37081012508,HLTHOUT,STROKE,CrdPrv,Stroke,37,643
2020,NC,North Carolina,Forsyth,37067,37067003701,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,82.6,,,80.1,84.8,4830,POINT (-80.26968853 36.05616365),37067003701,PREVENT,MAMMOUSE,CrdPrv,Mammography,37,2337
2020,NC,North Carolina,Davidson,37057,37057060302,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,16.6,,,14.4,18.9,3620,POINT (-80.30834745 35.98341974),37057060302,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,640
2020,NC,North Carolina,Forsyth,37067,37067003312,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,17.3,,,15.6,19.1,2692,POINT (-80.08847512 36.05925237),37067003312,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
